<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.13	15:30:00	1.30614	1.30833	1.30450	1.30832	3708	0	0
2023.07.13	16:00:00	1.30832	1.31008	1.30786	1.30908	2726	0	0
2023.07.13	16:30:00	1.30909	1.31113	1.30906	1.31090	2400	0	0
2023.07.13	17:00:00	1.31090	1.31092	1.30907	1.30920	2103	0	0
2023.07.13	17:30:00	1.30920	1.31142	1.30917	1.31140	2160	0	0
2023.07.13	18:00:00	1.31141	1.31142	1.30975	1.30975	1868	0	0
2023.07.13	18:30:00	1.30976	1.31023	1.30881	1.30955	1367	0	0
2023.07.13	19:00:00	1.30955	1.31110	1.30934	1.31076	1415	0	0
2023.07.13	19:30:00	1.31075	1.31161	1.31057	1.31136	1499	0	0
2023.07.13	20:00:00	1.31135	1.31182	1.31090	1.31151	1028	0	0
2023.07.13	20:30:00	1.31150	1.31233	1.31131	1.31210	1022	0	0
2023.07.13	21:00:00	1.31210	1.31275	1.31180	1.31210	1250	0	0
2023.07.13	21:30:00	1.31210	1.31323	1.31195	1.31313	1285	0	0
2023.07.13	22:00:00	1.31313	1.31410	1.31280	1.31367	1145	0	0
2023.07.13	22:30:00	1.31371	1.31386	1.31319	1.31329	867	0	0
2023.07.13	23:00:00	1.31328	1.31361	1.31308	1.31340	474	0	0
2023.07.13	23:30:00	1.31341	1.31359	1.31331	1.31352	354	0	0
2023.07.14	00:00:00	1.31336	1.31358	1.31217	1.31321	373	0	18
2023.07.14	00:30:00	1.31320	1.31331	1.31246	1.31314	1078	0	1
2023.07.14	01:00:00	1.31307	1.31388	1.31261	1.31347	440	0	0
2023.07.14	01:30:00	1.31348	1.31348	1.31300	1.31308	411	0	0
2023.07.14	02:00:00	1.31310	1.31342	1.31289	1.31306	492	0	0
2023.07.14	02:30:00	1.31303	1.31311	1.31266	1.31280	618	0	0
2023.07.14	03:00:00	1.31282	1.31311	1.31168	1.31178	1656	0	0
2023.07.14	03:30:00	1.31177	1.31229	1.31170	1.31202	943	0	0
2023.07.14	04:00:00	1.31203	1.31310	1.31191	1.31290	927	0	0
2023.07.14	04:30:00	1.31290	1.31327	1.31243	1.31306	1431	0	0
2023.07.14	05:00:00	1.31306	1.31331	1.31264	1.31318	1122	0	0
2023.07.14	05:30:00	1.31318	1.31345	1.31269	1.31310	1087	0	0
