Iteration at time 2024-05-23 22:46:10.686150, current price: 67839.88, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:47:10.721834, current price: 67857.37, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:48:10.760141, current price: 67855.49, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:49:10.799027, current price: 67872.14, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:50:10.842160, current price: 67809.9, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:51:10.882850, current price: 67842.22, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:52:10.918169, current price: 67866.78, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:53:10.953251, current price: 67855.0, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:54:10.993191, current price: 67879.76, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:55:11.026598, current price: 67987.22, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:56:11.065938, current price: 68044.62, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:57:11.098961, current price: 68063.33, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:58:11.139934, current price: 67935.5, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 22:59:11.174900, current price: 67945.22, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:00:11.212748, current price: 67864.9, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:01:11.255059, current price: 67814.89, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:02:11.288202, current price: 67726.72, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:03:11.327825, current price: 67735.09, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:04:11.363141, current price: 67760.07, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:05:11.397610, current price: 67725.22, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:06:11.441266, current price: 67692.22, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:07:11.455035, current price: 67726.53, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:08:11.477006, current price: 67757.22, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:09:11.489744, current price: 67747.33, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:10:11.507542, current price: 67681.72, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:11:11.520533, current price: 67694.72, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:12:11.533657, current price: 67711.72, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:13:11.577760, current price: 67755.33, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:14:11.618587, current price: 67757.59, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:15:11.661714, current price: 67724.0, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:16:11.695751, current price: 67715.01, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:17:11.731751, current price: 67684.77, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:18:11.773410, current price: 67641.89, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:19:11.813438, current price: 67716.67, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:20:11.849572, current price: 67692.24, positions: 0, capital: 1467.0407010310732
Iteration at time 2024-05-23 23:21:11.888638, current price: 67657.72, positions: 0, capital: 1467.0407010310732
