<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.08	15:00:00	1.25499	1.25513	1.25213	1.25366	5187	0	0
2022.06.08	16:00:00	1.25368	1.25616	1.25312	1.25544	5730	0	0
2022.06.08	17:00:00	1.25538	1.25563	1.25391	1.25503	6433	0	0
2022.06.08	18:00:00	1.25504	1.25617	1.25428	1.25616	4343	0	0
2022.06.08	19:00:00	1.25616	1.25645	1.25431	1.25475	3541	0	0
2022.06.08	20:00:00	1.25475	1.25485	1.25361	1.25413	3412	0	0
2022.06.08	21:00:00	1.25414	1.25440	1.25348	1.25388	3970	0	0
2022.06.08	22:00:00	1.25389	1.25429	1.25352	1.25389	2831	0	0
2022.06.08	23:00:00	1.25392	1.25407	1.25347	1.25358	1025	0	0
2022.06.09	00:00:00	1.25380	1.25400	1.25332	1.25366	2924	0	18
2022.06.09	01:00:00	1.25366	1.25417	1.25355	1.25388	2667	0	0
2022.06.09	02:00:00	1.25395	1.25444	1.25377	1.25404	2445	0	0
2022.06.09	03:00:00	1.25405	1.25463	1.25284	1.25344	3251	0	0
2022.06.09	04:00:00	1.25346	1.25374	1.25204	1.25217	3735	0	0
2022.06.09	05:00:00	1.25217	1.25358	1.25200	1.25347	3034	0	0
2022.06.09	06:00:00	1.25345	1.25485	1.25323	1.25413	3023	0	0
2022.06.09	07:00:00	1.25408	1.25422	1.25276	1.25289	2777	0	0
2022.06.09	08:00:00	1.25288	1.25328	1.25210	1.25216	3281	0	0
2022.06.09	09:00:00	1.25216	1.25250	1.25041	1.25135	4133	0	0
2022.06.09	10:00:00	1.25134	1.25292	1.24966	1.24967	5090	0	0
2022.06.09	11:00:00	1.24967	1.25288	1.24920	1.25259	4559	0	0
2022.06.09	12:00:00	1.25259	1.25263	1.25132	1.25226	3561	0	0
2022.06.09	13:00:00	1.25225	1.25398	1.25202	1.25337	4156	0	0
2022.06.09	14:00:00	1.25339	1.25470	1.25231	1.25404	6689	0	0
2022.06.09	15:00:00	1.25407	1.25488	1.25158	1.25318	8741	0	0
2022.06.09	16:00:00	1.25316	1.25587	1.25279	1.25518	8587	0	0
2022.06.09	17:00:00	1.25518	1.25557	1.25232	1.25427	7394	0	0
2022.06.09	18:00:00	1.25426	1.25437	1.25106	1.25124	6018	0	0
2022.06.09	19:00:00	1.25124	1.25206	1.25071	1.25149	4021	0	0
2022.06.09	20:00:00	1.25147	1.25205	1.25053	1.25172	3904	0	0
2022.06.09	21:00:00	1.25171	1.25228	1.25054	1.25071	3081	0	0
2022.06.09	22:00:00	1.25072	1.25072	1.24899	1.24904	3266	0	0
2022.06.09	23:00:00	1.24904	1.24962	1.24870	1.24956	1296	0	0
2022.06.10	00:00:00	1.24930	1.25085	1.24892	1.24950	691	0	15
2022.06.10	01:00:00	1.24968	1.24983	1.24881	1.24885	589	0	0
2022.06.10	02:00:00	1.24894	1.24959	1.24862	1.24921	948	0	0
2022.06.10	03:00:00	1.24927	1.25002	1.24822	1.24995	3061	0	0
2022.06.10	04:00:00	1.24995	1.24996	1.24791	1.24879	3427	0	0
2022.06.10	05:00:00	1.24878	1.24973	1.24863	1.24963	2740	0	0
2022.06.10	06:00:00	1.24964	1.25016	1.24939	1.24954	2370	0	0
2022.06.10	07:00:00	1.24954	1.24990	1.24943	1.24962	1708	0	0
2022.06.10	08:00:00	1.24961	1.25179	1.24956	1.25088	3277	0	0
2022.06.10	09:00:00	1.25086	1.25134	1.24772	1.24806	4290	0	0
2022.06.10	10:00:00	1.24800	1.24951	1.24699	1.24699	6230	0	0
