<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.30	21:00:00	1.27050	1.27081	1.26945	1.26950	1772	0	0
2023.06.30	22:00:00	1.26950	1.27003	1.26919	1.26991	1569	0	0
2023.06.30	23:00:00	1.26991	1.27006	1.26931	1.26979	1309	0	0
2023.07.03	00:00:00	1.26899	1.26993	1.26899	1.26944	210	0	94
2023.07.03	01:00:00	1.26934	1.27035	1.26929	1.26978	530	0	0
2023.07.03	02:00:00	1.26978	1.27009	1.26925	1.26935	743	0	0
2023.07.03	03:00:00	1.26936	1.26981	1.26875	1.26902	2081	0	0
2023.07.03	04:00:00	1.26902	1.27054	1.26882	1.26977	2358	0	0
2023.07.03	05:00:00	1.26977	1.27005	1.26930	1.26954	1539	0	0
2023.07.03	06:00:00	1.26954	1.27046	1.26949	1.27000	2065	0	0
2023.07.03	07:00:00	1.27000	1.27073	1.26982	1.27054	2555	0	0
2023.07.03	08:00:00	1.27054	1.27054	1.26903	1.26920	2248	0	0
2023.07.03	09:00:00	1.26922	1.26957	1.26723	1.26878	3247	0	0
2023.07.03	10:00:00	1.26877	1.26878	1.26585	1.26656	3368	0	0
2023.07.03	11:00:00	1.26657	1.26818	1.26597	1.26708	3121	0	0
2023.07.03	12:00:00	1.26707	1.26786	1.26647	1.26696	2762	0	0
2023.07.03	13:00:00	1.26695	1.26791	1.26663	1.26722	2837	0	0
2023.07.03	14:00:00	1.26724	1.26821	1.26617	1.26749	2921	0	0
2023.07.03	15:00:00	1.26746	1.26954	1.26686	1.26939	3067	0	0
2023.07.03	16:00:00	1.26941	1.27040	1.26844	1.26968	3456	0	0
2023.07.03	17:00:00	1.27067	1.27232	1.26860	1.26882	5121	0	0
2023.07.03	18:00:00	1.26883	1.26966	1.26739	1.26932	3187	0	0
2023.07.03	19:00:00	1.26931	1.27049	1.26911	1.26976	2754	0	0
2023.07.03	20:00:00	1.26976	1.27006	1.26831	1.26831	1040	0	0
2023.07.03	21:00:00	1.26831	1.26907	1.26808	1.26904	1214	0	0
2023.07.03	22:00:00	1.26904	1.26924	1.26883	1.26892	813	0	0
2023.07.03	23:00:00	1.26892	1.26936	1.26889	1.26907	691	0	0
2023.07.04	00:00:00	1.26922	1.26930	1.26824	1.26901	278	0	1
2023.07.04	01:00:00	1.26901	1.26926	1.26884	1.26892	427	0	0
2023.07.04	02:00:00	1.26892	1.26931	1.26880	1.26923	748	0	0
2023.07.04	03:00:00	1.26922	1.27003	1.26899	1.26974	1159	0	0
2023.07.04	04:00:00	1.26974	1.27018	1.26898	1.26948	1641	0	0
2023.07.04	05:00:00	1.26948	1.26957	1.26848	1.26878	976	0	0
2023.07.04	06:00:00	1.26878	1.26923	1.26862	1.26878	1015	0	0
2023.07.04	07:00:00	1.26879	1.26938	1.26850	1.26865	2772	0	0
