time,price,positions,capital
2024-05-23 22:29:10.027923,67321.35,0.014854168458450738,1042.983899879206
2024-05-23 22:30:10.063714,67363.34,0.014854168458450738,1042.983899879206
2024-05-23 22:31:10.106563,67463.91,0.0,1467.0407010310732
2024-05-23 22:32:10.145691,67484.35,0.0,1467.0407010310732
2024-05-23 22:33:10.177739,67592.22,0.0,1467.0407010310732
2024-05-23 22:34:10.227126,67643.61,0.0,1467.0407010310732
2024-05-23 22:35:10.259695,67647.18,0.0,1467.0407010310732
2024-05-23 22:36:10.304620,67629.18,0.0,1467.0407010310732
2024-05-23 22:37:10.349077,67602.93,0.0,1467.0407010310732
2024-05-23 22:38:10.393092,67540.16,0.0,1467.0407010310732
2024-05-23 22:39:10.441183,67471.72,0.0,1467.0407010310732
2024-05-23 22:40:10.479641,67484.22,0.0,1467.0407010310732
2024-05-23 22:41:10.513339,67547.72,0.0,1467.0407010310732
2024-05-23 22:42:10.546560,67562.01,0.0,1467.0407010310732
2024-05-23 22:43:10.580042,67553.71,0.0,1467.0407010310732
2024-05-23 22:44:10.619778,67665.88,0.0,1467.0407010310732
2024-05-23 22:45:10.652720,67798.33,0.0,1467.0407010310732
2024-05-23 22:46:10.686150,67839.88,0.0,1467.0407010310732
2024-05-23 22:47:10.721834,67857.37,0.0,1467.0407010310732
2024-05-23 22:48:10.760141,67855.49,0.0,1467.0407010310732
2024-05-23 22:49:10.799027,67872.14,0.0,1467.0407010310732
2024-05-23 22:50:10.842160,67809.9,0.0,1467.0407010310732
2024-05-23 22:51:10.882850,67842.22,0.0,1467.0407010310732
2024-05-23 22:52:10.918169,67866.78,0.0,1467.0407010310732
2024-05-23 22:53:10.953251,67855.0,0.0,1467.0407010310732
2024-05-23 22:54:10.993191,67879.76,0.0,1467.0407010310732
2024-05-23 22:55:11.026598,67987.22,0.0,1467.0407010310732
2024-05-23 22:56:11.065938,68044.62,0.0,1467.0407010310732
2024-05-23 22:57:11.098961,68063.33,0.0,1467.0407010310732
2024-05-23 22:58:11.139934,67935.5,0.0,1467.0407010310732
2024-05-23 22:59:11.174900,67945.22,0.0,1467.0407010310732
2024-05-23 23:00:11.212748,67864.9,0.0,1467.0407010310732
2024-05-23 23:01:11.255059,67814.89,0.0,1467.0407010310732
2024-05-23 23:02:11.288202,67726.72,0.0,1467.0407010310732
2024-05-23 23:03:11.327825,67735.09,0.0,1467.0407010310732
2024-05-23 23:04:11.363141,67760.07,0.0,1467.0407010310732
2024-05-23 23:05:11.397610,67725.22,0.0,1467.0407010310732
2024-05-23 23:06:11.441266,67692.22,0.0,1467.0407010310732
2024-05-23 23:07:11.455035,67726.53,0.0,1467.0407010310732
2024-05-23 23:08:11.477006,67757.22,0.0,1467.0407010310732
2024-05-23 23:09:11.489744,67747.33,0.0,1467.0407010310732
2024-05-23 23:10:11.507542,67681.72,0.0,1467.0407010310732
2024-05-23 23:11:11.520533,67694.72,0.0,1467.0407010310732
2024-05-23 23:12:11.533657,67711.72,0.0,1467.0407010310732
2024-05-23 23:13:11.577760,67755.33,0.0,1467.0407010310732
2024-05-23 23:14:11.618587,67757.59,0.0,1467.0407010310732
2024-05-23 23:15:11.661714,67724.0,0.0,1467.0407010310732
2024-05-23 23:16:11.695751,67715.01,0.0,1467.0407010310732
2024-05-23 23:17:11.731751,67684.77,0.0,1467.0407010310732
2024-05-23 23:18:11.773410,67641.89,0.0,1467.0407010310732
2024-05-23 23:19:11.813438,67716.67,0.0,1467.0407010310732
2024-05-23 23:20:11.849572,67692.24,0.0,1467.0407010310732
2024-05-23 23:21:11.888638,67657.72,0.0,1467.0407010310732
2024-05-23 23:22:11.929689,67668.76,0.0,1467.0407010310732
2024-05-23 23:23:11.976928,67610.82,0.0,1467.0407010310732
2024-05-23 23:24:12.020990,67633.46,0.0,1467.0407010310732
2024-05-23 23:25:12.057311,67648.46,0.0,1467.0407010310732
2024-05-23 23:26:12.095268,67612.18,0.0,1467.0407010310732
2024-05-23 23:27:12.135016,67594.79,0.0,1467.0407010310732
2024-05-23 23:28:12.169804,67610.61,0.0,1467.0407010310732
2024-05-23 23:29:12.206349,67600.03,0.0,1467.0407010310732
2024-05-23 23:30:12.253793,67609.4,0.0,1467.0407010310732
2024-05-23 23:31:12.294676,67597.53,0.0,1467.0407010310732
2024-05-23 23:32:12.332334,67560.48,0.0,1467.0407010310732
2024-05-23 23:33:12.371659,67650.79,0.0,1467.0407010310732
2024-05-23 23:34:12.406972,67640.55,0.0,1467.0407010310732
2024-05-23 23:35:12.451580,67632.99,0.0,1467.0407010310732
2024-05-23 23:36:12.496710,67654.0,0.0,1467.0407010310732
